NOMMO	N AA M OW
SKILFUL	S K IH L F AH L
MAIOLICA	M EY AA L AH K AH
FANWISE	F AE N W AY Z
CANTILEVERED	K AE N T AH L IY V ER D
SHOLDEN	SH OW L D AH N
AWRIE	AO R AY
DOORWAS	D UH R W AH Z
HOLDEST	HH OW L D AH S T
LUVAH	L UW V AH
EUT	Y UW T
38	TH R IY EY T
LABORINGS	L EY B ER IH NG Z
FLYOUR	F L AY AH R
THÉOPHILE	TH AH F AY L
BEEHOLD	B IY HH OW L D
FAUNUS	F AO N AH S
RUMBAS	R AH M B AH Z
MANIAS	M EY N IY AH Z
GOBBLIN	G AA B L AH N
________________	
ELIDED	AH L AY D AH D
CHAFERS	CH EY F ER Z
IRREPROACHABLE	IH R IH P R OW CH AH B AH L
MILLION=PER	M IH L Y AH N P ER
TOILIN	T OY L IH N
LOBELIA	L AH B IY L Y AH
AUDIO/VISUAL	AO D IY OW V IH ZH AH W AH L
FIDGE	F IH JH
UNLEASHAND	AH N L IY SH AH N D
UNAPPEASABLE	AH N AH P IY Z AH B AH L
LANGUOR	L AE N G W AH R
MASHA	M AE SH AH
UNLAWFU	AH N L AO F UW
FIELDTO	F IY L D T OW
TUÍ	T UW
FAMISH	F EY M IH SH
TOBACCOTHAT	T AH B AE K AH TH AH T
RABASA	R AE B AH S AH
BLUEFLIES	B L UW F L AY Z
STOB	S T AA B
BORETHE	B AO R AH DH
DRUMBEATS	D R AH M B IY T S
CUDDLES	K AH D AH L Z
NAÏVE	N EY V
BLANNSING	B L AE N S AH NG
BRUYÈRE	B R UW W AY R
UZ	AH Z
1920	W AH N AY N T UW Z IY R OW
ICICLED	AY S IH K AH L D
TERMAND	T AH R M AH N D
ANDTAUGHT	AE N D T AH T
TARYYNGE	T AE R AY AH N JH
FUGITIVEFORGIVE	F Y UW JH AH T IH V F AO R G IH V
COUTHY	K OW AH TH IY
FRANGELICO	F R AE N JH EH L AH K OW
GROWNON	G R OW N AO N
INWARDTENDING	IH N W ER D T EH N D IH NG
SWANSEA	S W AA N S IY
THIGHED	TH AY D
NOREASTER	N AH R IY S T AH R
BEAKSWON	B AH AE K S W AH N
WHELMED	W EH L M D
DESEAVE	D AH S IY V
WYLL	W IH L
SHASHA	SH AE SH AH
SURPRISIN	S ER P R AY Z IH N
CITADELS	S IH T AH D AH L Z
ALLMISFIRING	AO L M IH S F AY ER IH NG
BEAUTY=NATION	B Y UW T IY N EY SH AH N
FOUNTAINWHAT	F AW N T EY N W HH AH T
EPIGRAPHS	EH P AH G R AE F S
PETUOUSLY	P EH T Y UW OW AH S L IY
TOWARD…	T AH W AO R D
BABYTONIGHT	B EY B IY T AH N AY T
JAWSBITING	JH AO Z B AY T IH NG
BEDSNOT	B IH D S N AA T
ALSEMERO	AE L S EH M AH R OW
GREENMILK	G R IY N M IH L K
CLEAVERS	K L IY V ER Z
PANGUR	P AE N G AH R
DOONSIN	D UW AO N S IH N
CHAINOF	CH EY N AH F
PIGTAIL	P IH G T EY L
1931	W AH N AY N TH R IY W AH N
MUCHIV	M AH CH AH V
GOUVERNAUNCE	G AW V AH R N AH N S
WERENEITHER	W EH R AH N IY DH AH R
REPLYD	R IH P L IH D
SALTMASTER	S AO L T M AE S T ER
XY	Z AY
KERSCHEINE	K AH R S IY N
UNSOWND	AH N S OW N D
DISCOUNT'NANC'T	D IH S OW AH N T N AE NG K T
CAÑADA	K AA D AH
TO/FROM	T UW F R AH M
ATTITUDINIZE	AE T AH T Y UW D AH N AY Z
CASEMENT	K EY S M AH N T
BLACKFEATHERED	B L AE K F EH DH ER D
DAZLING	D EY Z L AH NG
CLUTTERS	K L AH T ER Z
JUNENOR	JH UW N AH N AH R
BEDSPREADS	B EH D S P R EH D Z
OAF	OW F
ERWHELM	AH R W HH AH L M
BLOODAXE	B L AH D AE K S
MISERIES*	M IH Z ER IY Z
GOINGSARE	G OY N G S AH R
FURLETH	F ER L IH TH
CASTLESBEARING	K AE S AH L Z B AE ER IH NG
HASPASSED	HH AE S P AE S T
DECALOGUE	D AH K AE L AH G
ACHITOPHEL	AH CH IH T AH F AH L
AHIO	AE HH IY OW
NEVKAS	N EH V K AH Z
SWIVELOWLS	S W IH V AH L AW L Z
GAUFFERED	G AO F IY R D
DEAD/	D EH D
HYLL	HH IH L
FOREVERMORE	F AO R AH V AH R M AH R
USTWO	AH S T W OW
EXHILARATIONS	IH G Z IH L ER EY SH AH N Z
PLENITUDE	P L EH N AH T UW D
THRIVESIN	TH R AY V S IH N
MOVETH	M UW V IH TH
GROUNDSMAN	G R AW N D Z M AE N
HISTORYFLAGS	HH IH S T AH R IY F L AE G Z
ITTRAVELING	IH T R AH V IY L AH NG
FACEDMY	F AH S EH D M IY
TOKENED	T OW K AH N D
ELIZUR	EH L AH Z AH R
1995	W AH N AY N AY N F AY V
CONSTRUCT/S	K AH N S T R AH K T S
WEBPAGE	W EH B P EY JH
KICKEDDOWN	K IH K T D AW N
CITYCOULD	S IH T AH K OW L D
GUNNELING	G AH N IY L AH NG
BEGUILES	B IH G AY L Z
ONEHERE	AA N AH HH AH R
INHABITTHIS	IH N HH AE B AH T TH IY Z
4019	F OW R Z IY R OW W AH N AY N
MACULATE	M AE K Y AH L EY T
DESPISÈD	D IH S IH Z D
BAFFLERS	B AE F AH L ER Z
PREVE	P R IY V IY
SHROWD	SH R OW D
_____THESE	
JR	JH EY R
PATERNOSTER	P AH T AH R N AA S T AH R
CARAVANSFOREVER	K AE R AH V AE N Z F ER EH V ER
DEXTERITYCAN	D EH K S T EH R AH T IY K AE N
KOCHERA	K AA CH AH R AH
DUENOT	D Y UW AH N AH T
SOAPDISH	S OW P D IH SH
DESUBLIMATE	D IY S AH B L AH M EY T
AIRBRUSHED	AH IH R B R AH SH T
EXPOSTULATING	EH K S P AA S CH AH L EY T IH NG
MOSSYPATTERNS	M AO S IY P AE T ER N Z
DIFFICULTIE	D IH F IH K AH L T IY
UNBITTEN	AH N B IH T AH N
HOUSESSHE	HH AW S AH S
SERVANTAND	S AH R V AE N T AH N D
SAMARCAND	S AH M AA R K AH N D
VENYSON	V EH N AH S AH N
GROMMET	G R AA M AH T
EVERGREENSSHEDDING	EH V ER G R IY N Z SH EH D IH NG
CERTAINE	S AH R T EY N
NOTHINGWHICH	N AH TH IH N G W HH AH CH
YANGS	Y AA NG Z
EMBALME	IH M B AE L M
PATHECHO	P AE TH EH K OW
ERMENONVILLE	AH R M AH N AA N V AH L
'WE	W
SASHAYED	S AE SH EY D
UNFREQUENTED	AH N F R IY K W AH N T IH D
INVIOLABLY	IH N V AY AH L AH B L IY
NUNC	N AH NG K
INTERCHANGED	IH N T ER CH EY N JH D
TISA	T IH S AH
BLOOIE	B L UW AY
IMBELLISHT	IH M B AH L IH SH T
PRÈS	P IY AA R S
BARIBOU	B AE R AH B UW
DOSIDO	D AA S AH D OW
IDK	IH D K
GOSSIPED	G AA S AH P T
EYEGLITTERS	AY G L IH T ER Z
OLDFANGLEDCANAPÉS	OW L D F AH N G L EH D K AH N AH P S
MORTIFICATIONS	M AO R T AH F AH K EY SH AH N Z
PIDLING	P AY D L AH NG
UNBINDING	AH N B AY N D IH NG
SHOURE	SH UW Y ER
SPATIOUS	S P EY T IY AH S
LONDOUN	L AA N D AW N
BUSTDOWNS	B AH S T D AW N Z
BHANG	B HH AE NG
STRINGOF	S T R IH N G AH F
IMPERFECTLYTHE	IH M P AH R F EH K T L AH DH
COUNTERGIRLS	K AW N T ER G ER L Z
RARÁMURI	R AA R M Y AH R IY
'NEATH	N IY TH
RENTIER	R EH N T IY ER
GREYNESS	G R EY N AH S
CHEÄKS	CH EH K S
BRACTMUSIC	B R AE K T M AH S AH K
BACKSON	B AE K S AH N
GUANTÁNAMO	G Y UW AE N T N AH M OW
SIDETRAILS	S AY D T R EY L Z
PORTCULLIS	P AO R T AH L AH S
CLAMBERING	K L AE M B ER IH NG
BOYLING	B OY L IH NG
MOJACAR	M AA JH AH S AH R
515	F AY V W AH N F AY V
LOKYNG	L AA K AH NG
SACCADEAS	S AE K AH D IY Z
THEREFOR	F AO R
QUEIGHTHE	K W EY DH
CEREBRATION	S EH R AH B R EY SH AH N
FLAMS	F L AE M Z
POETASTER	P OW AH T AE S T ER
RIVAGE	R AY V AH JH
SHADOWINESS	SH AE D OW IY N AH S
BEYONDROLLED	B AH Y AA N D R AH L D
LOANWORD	L OW N W ER D
BREADJUST	B R EH D JH AH S T
LEGOS	L EH G AA S
QUAYS	K W EY Z
GRANDMA/	G R AE N D M AH
DIEIN	D AY IH N
UNISONBELIEVE	Y UW N AH S AH N B AH L IY V
HACKIT	HH AE K AH T
ALORS	EY L ER Z
TASTETHESE	T AE S T AH TH IY Z
ENTRAÑAS	IH N T R AA Z
RELIQUIAE	R AH L IH K W IY IY
NEEDN	N IY D N
SEAPLANE	S IY P L EY N
ARRAYTO	AE R EY T OW
GRAC	G R AE K
DEBAS	D AH B AE Z
JACKETSAND	JH AE K AH T S AE N D
UNLOOKT	AH N L UH K T
FLOURING	F L AW ER IH NG
HUNH	HH AH N
MELISMATIC	M AH L IH Z M AH T AH K
REASCEND	R IY AH S EH N D
GRAPESHE	G R AE P AH SH
CIGS	S IH G Z
BIRDSOF	B AY R D S AA F
SEE'ST	S IY S T
CHESSMEN	CH EH S M EH N
KÄLTE	K L T
PUGGISH	P AH G IH SH
BOOKPICKED	B UH K P IH K T
DESCRIES	D IH S R AY Z
PIGMEAN	P IH G M IY N
BLEAR	B L IH ER
ORGASMIC	AO R G AE Z AH M IH K
COALESCENT	K OW AH L EH S AH N T
XV	EH K S V
HAILL	HH EY L
NAPPY	N AE P IY
MOUTHOUT	M AW TH AW T
PACKIN	P AE K IH N
1FAT	W AH N EH F EY T IY
PURRED	P ER D
UNDERTOOKGOES	AH N D ER T UH K G OW Z
AFTERWARDTHEY	AE F T AH R W AO R D TH IY
HISDEATHBED	HH AY Z D EH TH B EH D
LIMELIT	L AY M L IH T
ANDYOU	AE N D AY UW
CONGLOBING	K AH N G L OW B IH NG
EARTHINESSSO	AH R TH AH N EH S OW
JAPERIES	JH AE P AH R AY Z
BODIESBUT	B OW D IY Z AH T
SINGEING	S IH N JH IH NG
JUSTLES	JH AH S T AH L Z
HWÆR	EY CH D AH B AH L Y UW R
MOTIONAL	M OW SH AH N AH L
CLOWNFILLED	K L AW N F IH L D
UNSHARED	AH N SH EH R D
WAYSNOT	W EY Z N AH T
SENSATE	S EH N S AH T
VERSO	V AH R S OW
UNDERSTANDTHAT	AH N D AH R S T AE N D TH AH T
AEPYORNI	EH P AY AO R N IY
DAREFANFARING	D EH R F AE N F EH R IH NG
SPUMINGAS	S P Y UW M IH N G AH Z
DIDDEST	D IH D AH S T
CRAW/JAYWALK	K R AO JH EY W AO K
ENTENDAIT	IH N T EH N D EY T
LEPISOSTEUS	L EH P AH S OW S T IY AH S
ICCARDO	IH K AA R D OW
CHIM	CH IH M
HERONAIM	HH EH R AH N EY M
TROWE	T R OW
'THU	TH UW
DIJERON	D IH JH AH R AH N
/4	F OW R
TOUGHTO	T AO T OW
MICHAELANGELO	M IH CH AH L AE N JH AH L OW
CUSPIDOR	K AH S P AH D ER
WORKEDON	W ER K T AO N
SPARWE	S P AA R W
CLIMBIN	K L AY M IH N
BATEAU	B AE T OW
MURIERLY	M Y AH R IY R L IY
STUNCK	S T AH NG K
CRINOLINEFRINGED	K R IH N AH L AH N EH F R AH NG D
TEAD	T IY D
WOODWITHOUT	W UH D W IH TH AW T
REPULSION	R IY P AH L S IY AH N
GREATNESSTHAT	G R IY T N EH S TH AH T
ATMS	AE T M Z
KINGCUP	K IH NG K AH P
VITRESCENCE	V AY T R EH S AH N S
PARACOMMANDOS	P AA R AH K AH M AE N D OW Z
IMBOSOM	IH M B UH Z AH M
CRISPÉD	K R IH S D
PEEKETH	P IY K IH TH
LARICHOS	L AE R AH CH AH Z
SUPPORTEDBY	S AH P OW R T IH D B AY
CHAUNCERYE	CH AO N S AH R AY
ADSHEL	AE D SH AH L
FREEDMAN/	F R IY D M AH N
BURIEDALONG	B EH R IY D AH L AO NG
HALLONCE	HH AE L AH N S
PURGUEMOS	P AH R G Y UW AH M AH Z
EAT/S	IY T S
AGAINAFTER	AH G EY N AE F T ER
RAMBLINGS	R AE M B AH L IH NG Z
ITERATED	IH T ER EY T IH D
SIDEBOARD	S AY D B OW R D
FUTHERR	F AH TH AH R
BODYING	B AA D IY IH NG
AMYDDE	AE M AH D
GHOSTCRABS	G OW S T K R AE B Z
RIBHOW	R IH B HH OW
STERFPUTS	S T AH R F Y UW T S
STICKILY	S T IH K IY L IY
RIFLEAND	R IH F L IY N D
CHOICECHAPPED	CH OY S CH AE P T
VOLLEYING	V AA L IY IH NG
SPERMACETI	S P AH R M AE S AH T IY
FLOWRE	F L OW R
ELYNOUR	EH L AH N AH R
KLERKS	K L AH R K S
BRUSHEDAGAINST	B R AH SH EH D AH G EY N S T
DRILLHOLES	D R IH L HH OW L Z
SOFTN	S AA F T N
MYSOPHOBIC	M IH S AH F AH B AH K
GREASEPAINT	G R IY S P EY N T
BUILDINGSA	B UW L D IH N G S AH
TREPANNED	T R EH P AH N D
ROPEIS	R OW P IY Z
POESIS	P OW AH Z IY Z
NOPD	N AA P D
SKAG	S K AE G
OFINTENSITY	AH F IH N T EH N S AH T IY
WHYSCRIBBLE	W IH S R AH B AH L
STEMSINTO	S T EH M Z IH N T OW
PALING	P EY L IH NG
LIBERTICIDE	L AH B AH R T AH S AY D
FUTURESINGLES	F Y UW CH ER S IH NG G AH L Z
SICKLIED	S IH K L IY D
LEERED	L IH ER D
ODDITYIN	AA D AH T IY IH N
THOSEWHOM	TH AH S UW HH AH M
AGAINEXPLODING	AH G EY N IH K S P L OW D IH NG
875	EY T S EH V AH N F AY V
KINDES	K AY N D Z
BROIDER	B R OY D AH R
RAIZD	R EY Z D
PLANÈTES	P L AE N T S
BULLETHOLES	B UH L AH T HH OW L Z
SURRIGIANIS	S AH R AH JH IY AH N AH S
AIRBUT	AE AH R B AH T
1516	W AH N F AY V W AH N S IH K S
PREASSEMBLED	P R IY AH S EH M B AH L D
KALMUCKS	K AE L M AH K S
QUARRIED	K W AO R IY D
CRADLEBOARD	K R EY D AH L B OW R D
DIEOUT	D AY AW T
WHEREWHEREWHERE	W AH R UW HH AH R UW HH AH R
KNELLED	N EH L D
TRANSACTS	T R AE N S AE K T S
1	W AH N
UNAWAKENED	AH N AH W EY K AH N D
WHORED	HH OW R D
RETURNTO	R AH T AH R N T OW
BIDERS	B AY D ER Z
ONRUSH	AO N R AH SH
DROOLS	D R UW L Z
REPROACHFUL	R IH P R OW CH F AH L
ATTAINMENTS	AH T EY N M AH N T S
MARIAGEABLE	M EH R IY IH JH AH B AH L
OVERCUP	OW V ER K AH P
BEAUTEOUS	B Y UW T IY AH S
ETCET	EH T S AH T
NOTESYOU	N AH T EH S AY UW
SAVONAROLA	S AE V AH N AE R AH L AH
ONE/A	W AH N AH
PALOMAS	P AE L AH M AH Z
CUN	K AH N
PERFECTNESS	P ER F AH K T N AH S
CLOCKWITH	K L AA K W IH TH
ONEWORD	AA N Y UW AH R D
CAPRICHO	K AE P R AH CH OW
QUOTATIONMARK	K W OW T EY SH AH N M AA R K
TASTEE	T EY S T IY
SLILY	S L IH L IY
GUMBED	G AH M B EH D
IONESCO	AY AH N EH S OW
HIPPOTADES	HH IH P OW T EY D Z
STOMPD	S T AA M P D
BROWN/	B R AW N
ASSUMPTA	AE S AH M P T AH
RAVISHMENT	R EY V IH SH M AH N T
SGENERAL	S JH EH N AH R AH L
COLORMY	K OW L AO R M IY
SIMOIS	S IH M OW AH S
LIFFEY	L IH F IY
PROPITIATE	P R OW P IH SH IY AH T
NECKE	N EH K
USON	Y UW S AH N
DREAMDUST	D R IY M D AH S T
ILLUM	IH L AH M
GODIO	G OW D IY OW
ERRANCY	EH ER AH N S IY
DISCREDITEDTHE	D IH S R EH D AH T AH D
FAVOURITES	F AE V AH R AY T S
RHINELANDISH	R AY N L AE N D IH SH
UNTURNING	AH N T ER N IH NG
CROSSFIRES	K R AO S F AY ER Z
JOYSTICKS	JH OY S T IH K S
SUSTAIND	S AH S T EY N D
SCAPEGRACE	S K EY P G R EY S
CUMBRIA	K AH M B R IY AH
WORROWYD	W AH R OW AH D
ERD	AH R D
DEVUÉLVENOS	D AH V AH L V AH N AH Z
FRUITWITH	F R UW T W IH TH
GREA	G R IY
VENOMLESS	V EH N AH M L AH S
–AS	AE Z
PRAIRIESFOR	P R EH ER IY Z F AO R
BURLED	B ER L D
PARTHENOPE	P AA R TH AH N OW P
CRUSTEDROWS	K R AH S T IH D R OW Z
UNCHIPPED	AH N CH IH P T
BETHABARA	B AH TH AE B AH R AH
1619	W AH N S IH K S W AH N AY N
DILLA	D IH L AH
BANDOLEER	B AE N D AH L IH ER
KILLDEERS	K IH L D IH ER Z
GRADDICK	G R AE D AH K
CH2	S IY EY CH T UW
QUIESCENCE	K W AY EH S AH N S
INTOHER	IH N T AA AH R
INCLUDINGVERTICAL	IH N K L UW D IH NG V ER T IH K AH L
JANABAI	JH AE N AH B EY
NOWALLS	N OW AH L Z
HUELESS	HH Y UW L AH S
JIGGERBOO	JH IH G ER B UW
STOOD'ST	S T UW D S T
UNCROPT	AH N K R AA P T
SEWS	S OW Z
FAITES	F EY T S
TWINSHIP	T W IH N SH IH P
FREEBOOTERS	F R IY B UW T ER Z
INCONGRUENCE	IH N K AH N G R UW AH N S
RITEHE	R IH T AH HH
MORNINGWHILE	M AO R N IH N G W AH L
CLUBBERS	K L AH B ER Z
SOULCOMES	S OW L K AH M Z
FOAMED	F OW M D
QADISHA	K AE D AH SH AH
VENDLER	V EH N D L AH R
GALÔNUS	G AE L N AH S
SURPRISINGAS	S ER P R AY Z IH N G AE S
THIRSTIE	TH ER S T IY
UNSPOOLED	AH N S UW L D
SEEIF	S IY AH F
WAKETO	W AE K AH T OW
RÉSUMÉ	R S AH M
EARTHAND	AH R TH AH N D
MADEEQUAL	M EY D IY K W AH L
FLACKO	F L AE K OW
PUSHPINNED	P UH SH P IH N D
FOUNTAINCONTINUES	F AW N T AH N K AH N T IH N Y UW Z
ARRIVEDAND	AE R IH V AH D AH N D
TALLOWING	T AE L OW IH NG
DENLY	D EH N L IY
LALANI	L AE L AH N IY
NARROWAS	N AE R OW AH Z
BETOKENS	B IH T OW K AH N Z
UNSTRUNG	AH N S T R AH NG
BORNIS	B AO R N IY Z
SCINTILLANT	S IH N T AH L AH N T
CIV	S IH V
COVERTS	K AH V ER T S
INSURGENTES	IH N S AH R JH AH N T S
ALEXIE	AH L EH K S AY
ENOUGHTO	AH N AO T OW
REQUIEMS	R IH K W IY M Z
BROWSFLEE	B R AW Z F L IY
REPAIRABLES	R IH P EH R AH B AH L Z
ETHICK	EH TH AH K
BARBARIDAD	B AA R B AE R AH D AH D
TWILIGHTS	T W AY L AY T S
VALENTINUS	V AH L EH N T AH N AH S
SABRED	S EY B ER D
YALL	Y AE L
SECRESIE	S EH K R IY S AY
WORSER	W ER S ER
RÍOS	R AA Z
HISTORIA	HH IH S T AO R IY AH
COVEREDIN	K OW V R EH D IH N
RESEWN	R IY S OW N
U45A	Y UW F OW R F AY V EY
MENILS	M IY N AH L Z
EASTERLIES	IY S T ER L IY Z
IGNOMINIE	IH G N AA M AH N AY
VELVETYAND	V EH L V EH T AY AH N D
CANNOTGET	K AE N AA T JH AH T
CONJURER	K AH N JH UH R ER
HOUNDE	HH AW N D
REPENTAUNT	R IH P EH N T AE N T
GIRLAND	JH AH R L AH N D
SPANISHPIRATES	S P AE N IH SH P AY R AH T S
DODIE	D UW D AY
EORÐAN	IY AH R AH N
1562	W AH N F AY V S IH K S T UW
TOULD	T OW L D
CRYPTONYMS	K R IH P T AH N AH M Z
ROSARITO	R AH S AE R AH T OW
YOURS–	Y UH R Z
INFILL	IH N F IH L
WILLOPEN	W IH L OW P AH N
REILLUMINES	R IY IH L UW M AH N Z
REB	R EH B
FAWNSTANDING	F AO N S T AE N D IH NG
SKYEAST	S K AY IY S T
OTRA	AA T R AH
INCLUDESCOLORS	IH N K L UW D Z K AH L ER Z
BLITHERING	B L AY TH ER IH NG
CROPPES	K R AA P S
ZIZIPHORA	Z AH Z IH F AH R AH
BEARSAYING	B AE ER S EY IH NG
BRAHMAPUTRA	B R AE M AH P AH T R AH
IDOLISMS	AY D AH L IH Z AH M Z
HAMLESS	HH AE M L AH S
NEIGE	N EY JH
FISTFULS	F IH S T F AH L Z
NONEOF	N AH N IY AH F
CREWELWORK	K R UW AH L W ER K
PESTLE	P EH S T AH L
SRICE	S R AY S
FLAMENS	F L EY M AH N Z
CLYMBYNG	K L IH M B AH NG
TOMTIT	T AA M T IH T
RIVETTED	R IH V AH T IH D
CROOKING	K R UH K IH NG
WATERBREAKING	W AO T ER B R EY K IH NG
DECIDEDYOU	D AH S AH D EH D AY UW
GREYE	G R EY
STUDIE	S T AH D IY
CAMBALL	K AE M B AO L
ARCHILOCHOS	AA R K IH L AH CH AH Z
HORNPIPES	HH AO R N P AY P S
EVERYDOG	IY V AH R IY D AO G
AGAINBUT	AH G EY N B AH T
LIMEKILN	L IH M AH K AH L N
RUANA	R UW W AH N AH
ALONEUNDERSTANDIN	AH L OW N AH N D ER S T AE N D IH N
MEGATRENDS	M AH G AE T R AH N D Z
VERBOSE	V AH R B OW Z
OUTRIDERE	AW T R AH D AH R
SABEN	S EY B AH N
PLAGIARIZING	P L EY JH IY AH R AY Z AH NG
HUDDLEDNEXT	HH AH D L EH D N AH K S T
CHTO	CH T OW
LAUGHBOOMSKYLARKFLICKS	L AE F B UW M S K AY L AA R K F L IH K S
TRASHI	T R AE SH IY
MUYBRIDGE	M Y UW IH B R AH JH
RHONDDA	R AA N D AH
RAVELLED	R AE V AH L D
RESBALABAN	R EY Z B IY AH L AH B AE N
POETSBELOVED	P OW AH T S B IH L AH V D
SLIPCOVERS	S L IH P K AH V ER Z
KITCHENSAYING	K IH CH AH N S EY IH NG
BURGESSES	B ER JH AH S IH Z
MENDACITIES	M EH N D EY S AH T IY Z
THELONIOUS	TH AH L OW N IY AH S
DAMOS	D AE M AA S
6	S IH K S
PINNACLES	P IH N IH K AH L Z
TROBS	T R AA B Z
FIGHTIN	F AY T IH N
CROPPY	K R AA P IY
COARSENS	K OW R S AH N Z
OBSCURED…	AA B S K Y UH R D
PUPPYDOGS	P AH P IY D AO G Z
EXTINGUISHES	IH K S T IH NG G W IH SH IH Z
SULPICE	S AH L P AH S
APPEARSAND	AH P IH ER S AE N D
PENEUS	P IY N IY AH S
IDLEST	AY D AH L AH S T
RISETH	R AY Z IH TH
MATUREST	M AH T Y UH R AH S T
MOTHERSDAY	M AH DH ER Z D EY
UNDERTAKERS	AH N D ER T EY K ER Z
FLEWA	F L UW AH
WHITHERWARD	W AH TH AH R W AH R D
CALLISTO	K AE L IH S T OW
BRIDEWEL	B R IH D Y UW AH L
THREEROBOT	TH R IY R OW B AA T
UPCAST	AH P K AE S T
REVERSESWHEN	R AH V AH R S EH S W AH N
FLANKAND	F L AE NG K AH N D
GOOSETAILED	G UW S T EY L D
FALDYNG	F AE L D AH NG
MEKENESSE	M EH K AH N AH S
SOMTIMESASCEND	S AA M T AH M AH S AE S AH N D
INSTEADTHE	IH N S T IY D
IDIOSYNCRACIES	AH D IY AH S IH N K R AH S IY Z
ACCELERANDO	AE K S AH L AH R AE N D OW
PLANEAND	P L EY N IY N D
ABUELITAGRANDMA	AE B Y UW EH L AH T AH G R AE N D M AH
LEGSWITH	L EH G Z W IH TH
GRAYTHUNDERHEADS	G R EY TH AH N D ER HH EH D Z
ANISHINAABEG	AE N AH SH IH N AH B AH G
NYGHT	N IH T
EDHIE	EH D HH AY
THEMSELVESTOGETHER	TH EH M Z EH L V EH S T AA JH AH DH AH R
1896	W AH N EY T N AY N S IH K S
SINCEREST	S IH N S IH ER AH S T
BATTLEMENTED	B AE T AH L M AH N T IH D
FOOLSCAP	F UW L Z K AE P
3800	TH R IY EY T Z IY R OW Z IY R OW
HABERDASSHERE	HH AE B AH R D AE S AH R
PINECONE	P AY N K OW N
KUL	K AH L
WITHUT	W IH T HH AH T
GILDS	G IH L D Z
SMASHMOUTH	S M AE SH M AW TH
ORGIASTIC	AO R JH IY AE S T IH K
TIMESHEETS	T AY M SH IY T S
HALIOTIS	HH EY L IY AH T AH S
MEEACH	M IY AH CH
ALSTER	AE L S T AH R
THIE	TH AY
SEAFRONTSAND	S IY F R AH N T S AE N D
YESTREEN	Y EH S T R IY AH N
GHERKINS	G ER K AH N Z
BODDERAH	B AA D AH R AH
WEATHERHAS	W IY TH AH R AH Z
EDERLE	EH D AH R L
MALVAN	M AE L V AE N
THITHERWARD	TH AH TH AH R W AH R D
PURVEYOROF	P AH R V EY AH R AH F
SYNTAXES	S IH N T AE K S IH Z
ASSHE	AE S
TOYLE	T OY L
FRUTTI	F R AH T IY
TWANGUM	T W AA N G AH M
UMBILICALS	AH M B IH L AH K AH L Z
COOMS	K OW AA M Z
SHORETHUNDER	SH OW R TH AH N D ER
OCCULTED	AA K AH L T AH D
BELONGINGNESS	B IH L AO NG IH NG N AH S
SHOAREIN	SH OW R IY N
PUNJABI	P AH N JH AH B IY
BURNIN	B ER N IH N
SPIDERING	S P AY D ER IH NG
MERCILA	M AH R S AH L AH
POSSIBLES	P AA S AH B AH L Z
MUSKETRY	M AH S K AH T R IY
SPILLTHEIR	S P IH L TH IY R
STEWARDING	S T UW ER D IH NG
DISAVOWIN	D IH S AH V AW IH N
HOUSESFIVE	HH AW S IH Z F AY V
OWNTO	OW N T OW
LUSHED	L AH SH T
FAWNES	F AO N Z
ROLLYNGE	R AA L AH N JH
JUNETHE	JH UW N AH DH
UNDERSTANDFROM	AH N D AH R S T AE N D F R AH M
ULCERATE	AH L S ER AH T
OXHIDE	AA K S HH AY D
EXPERIENCEOF	IH K S AH R IY N S IY AH F
WAILEWA	W EY L UW AH
SPOKED	S P OW K T
STRIUE	S T R IY UW
'BELIEVED	B IY L IY V D
WIDENESS	W AY D N AH S
PIQUANCY	P IY K AH N S IY
LADDERWE	L AE D AH R W
HYDROCEPHALIC	HH IH D R AA S AH F AH L AH K
TUNÈD	T AH N D
THATPECULIAR	TH AE T AH K Y UW L IY AH R
ARRANGEINTO	AE R AH N JH IY N T OW
INSECTED	IH N S EH K T IH D
ELECTROENCEPHALOGRAM	AH L AH K T R OW EH N S AH F AH L AA G R AH M
SMOOTHERS	S M UW DH ER Z
TURTLEDOVE	T ER T AH L D AH V
MINUTEHAND	M IH N AH T HH AE N D
SIDESOF	S IH D AH S AH F
GULFWEED	G AH L F W IY D
WALL/OPENING	W AO L OW P AH N IH NG
SWEIRT	S W IY R T
COGNOSCE	K AH N AA S
SAPATOS	S AE P AH T AH Z
BICHON	B AY CH AA N
CASIRAGHI	K AH S IH R AH IY
DEGASSER	D IY G AE S ER
SLEPTWITH	S L EH P T W IH TH
LIMBIT	L IH M B AH T
PROTOPLASM	P R OW T AH P L AE Z AH M
UNLOOS	AH N L UW Z
MAYFLOWERS	M EY F L AW ER Z
RUSTEDHINGE	R AH S T IH D HH IH N JH
SYSTOLE	S IH S T OW L
LOWLINESSE	L OW L AH N AH S
PECKER	P EH K ER
GOOSIE	G UW S IY
WYTHAM	W IH TH AH M
DAMASKE	D AE M AH S
MOISTENS	M OY S AH N Z
FLOURISHED–BEFORE	F L ER IH SH T B IH F OW R
OUTMACERATION	AW T M AE S AH R EY SH AH N
EGAD	EH G AH D
SIDIN	S IH D AH N
THOUSANDSOF	TH AW S AE N D S AH F
RORIPAUGH	R AO R AH P AH
COVERSL'ANIMA	K OW V AH R S L AE N AH M AH
HARHEQUINADE	HH AH R EH K W AH N EY D
